Rank,Word,Word in English,Happiness Score,Standard Deviation of Ratings
10186,ventilators,ventilators,3.26,1.97
10185,ventilator,ventilator,2.98,1.7
10184,self-quarantine,self-quarantine,3.14,1.8
10183,sanitizer,sanitizer,5.14,1.55
10182,quarantined,quarantined,2.14,1.01
10181,quarantine,quarantine,2.18,1.08
10180,pandemic,pandemic,1.6,1.01
10179,outbreak,outbreak,2.46,1.3
10178,ncov19,ncov19,1.84,1.04
10177,masks,masks,3.38,1.58
10176,lockdown,lockdown,2.04,0.9
10175,kits,kits,5.14,1.14
10174,epidemic,epidemic,1.72,0.99
10173,distancing,distancing,3.16,1.28
10172,covid,covid,1.6,0.76
10171,coronavirus,coronavirus,1.34,0.66
10170,corona,corona,1.72,0.97
10169,terrorist,terrorist,1.3,0.91
10168,suicide,suicide,1.3,0.84
10167,rape,rape,1.44,0.79
10166,terrorism,terrorism,1.48,0.91
10165,murder,murder,1.48,1.01
10164,death,death,1.54,1.28
10163,cancer,cancer,1.54,1.07
10162,killed,killed,1.56,1.23
10161,kill,kill,1.56,1.05
10160,died,died,1.56,1.2
10159,torture,torture,1.58,1.05
10158,raped,raped,1.64,1.43
10157,deaths,deaths,1.64,1.14
10156,arrested,arrested,1.64,1.01
10155,killing,killing,1.7,1.36
10154,die,die,1.74,1.19
10153,terror,terror,1.76,1
10152,jail,jail,1.76,1.02
10151,kills,kills,1.78,1.23
10150,war,war,1.8,1.41
10149,murdered,murdered,1.8,1.63
10148,killings,killings,1.8,1.54
10147,fatal,fatal,1.8,1.53
10146,tortured,tortured,1.82,1.42
10145,abused,abused,1.83,1.31
10144,sickness,sickness,1.84,1.18
10143,failed,failed,1.84,1
10142,cry,cry,1.84,1.28
10141,cruel,cruel,1.84,1.15
10140,violence,violence,1.86,1.05
10139,sadness,sadness,1.88,1.19
10138,diseases,diseases,1.88,0.94
10137,abuse,abuse,1.88,1.24
10136,wars,wars,1.9,1.33
10135,evil,evil,1.9,1.28
10134,earthquake,earthquake,1.9,1.2
10133,depressing,depressing,1.9,1.22
10132,poison,poison,1.94,1.15
10131,fail,fail,1.96,1.03
10130,disaster,disaster,1.96,1.43
10129,bomb,bomb,1.96,1.28
10128,tumors,tumors,1.98,1.35
10127,poverty,poverty,1.98,1.12
10126,headache,headache,1.98,1.12
10125,depression,depression,1.98,1.56
10124,criminal,criminal,1.98,1.27
10123,punishment,punishment,2,1.34
10122,killers,killers,2,1.53
10121,illness,illness,2,1.18
10120,disease,disease,2,1.31
10119,dead,dead,2,1.32
10118,slavery,slavery,2.02,1.58
10117,sick,sick,2.02,1.08
10116,motherfucker,motherfucker,2.02,1.66
10115,rejection,rejection,2.02,1.33
10114,injury,injury,2.04,1.24
10113,destroyed,destroyed,2.04,1.34
10112,crying,crying,2.04,1.24
10111,violent,violent,2.06,1.35
10110,tragedy,tragedy,2.06,1.38
10109,slaves,slaves,2.06,1.37
10108,slave,slave,2.06,1.46
10107,prison,prison,2.06,1.48
10106,hates,hates,2.06,1.33
10105,failure,failure,2.06,1.22
10104,fails,fails,2.06,1.2
10103,bankruptcy,bankruptcy,2.06,1.6
10102,virus,virus,2.08,1.34
10101,suffer,suffer,2.08,1.38
10100,robbery,robbery,2.08,1.32
10099,rejected,rejected,2.08,1.12
10098,racist,racist,2.08,1.35
10097,dies,dies,2.08,1.56
10096,worst,worst,2.1,1.34
10095,pain,pain,2.1,1.28
10094,funeral,funeral,2.1,1.56
10093,dying,dying,2.1,1.47
10092,heartbreak,heartbreak,2.11,1.31
10091,unhappy,unhappy,2.12,1.36
10090,unemployment,unemployment,2.12,1
10089,sorrow,sorrow,2.12,1.56
10088,painful,painful,2.12,1.45
10087,hurts,hurts,2.14,1.2
10086,hated,hated,2.14,1.29
10085,crimes,crimes,2.14,1.37
10084,corruption,corruption,2.14,1.31
10083,pollution,pollution,2.16,1.18
10082,homeless,homeless,2.16,1.28
10081,drowned,drowned,2.16,1.6
10080,agony,agony,2.16,1.88
10079,tsunami,tsunami,2.18,1.34
10078,robbed,robbed,2.18,1.42
10077,hurt,hurt,2.18,1.37
10076,divorce,divorce,2.18,1.32
10075,depressed,depressed,2.18,1.79
10074,loser,loser,2.2,1.11
10073,crime,crime,2.2,1.26
10072,cried,cried,2.2,1.29
10071,suffering,suffering,2.22,1.71
10070,injured,injured,2.22,1.11
10069,holocaust,holocaust,2.22,1.79
10068,hell,hell,2.22,1.47
10067,weep,weep,2.22,1.42
10066,hatred,hatred,2.22,1.86
10065,suffered,suffered,2.24,1.6
10064,horrible,horrible,2.24,1.48
10063,devil,devil,2.24,1.55
10062,bombing,bombing,2.24,1.48
10061,disappointed,disappointed,2.26,1.03
10060,destruction,destruction,2.26,1.51
10059,cheating,cheating,2.26,1.19
10058,sadly,sadly,2.28,1.47
10057,heartache,heartache,2.28,1.5
10056,thieves,thieves,2.29,1.31
10055,theft,theft,2.3,1.37
10054,fraud,fraud,2.3,1.18
10053,fired,fired,2.3,1.57
10052,anger,anger,2.3,1.42
10051,victims,victims,2.32,1.5
10050,poor,poor,2.32,1.28
10049,nightmare,nightmare,2.32,1.87
10048,fear,fear,2.32,1.3
10047,angry,angry,2.32,1.24
10046,accident,accident,2.32,1.52
10045,grief,grief,2.33,1.78
10044,tragic,tragic,2.34,1.64
10043,hate,hate,2.34,1.88
10042,frustration,frustration,2.34,1.19
10041,threat,threat,2.36,1.31
10040,hurting,hurting,2.36,1.12
10039,victim,victim,2.38,1.41
10038,sad,sad,2.38,1.61
10037,graveside,graveside,2.38,1.47
10036,weapons,weapons,2.4,1.69
10035,flu,flu,2.4,1.12
10034,asshole,asshole,2.4,1.6
10033,slaughter,slaughter,2.41,1.84
10032,nigger,nigger,2.41,1.88
10031,wounded,wounded,2.42,1.55
10030,worried,worried,2.42,1.18
10029,negative,negative,2.42,1.05
10028,killer,killer,2.42,1.93
10027,ill,ill,2.42,1.23
10026,flood,flood,2.42,1.37
10025,attack,attack,2.42,1.43
10024,arrest,arrest,2.42,1.49
10023,saddened,saddened,2.44,1.28
10022,prisoners,prisoners,2.44,1.46
10021,hating,hating,2.44,1.45
10020,enemies,enemies,2.44,1.47
10019,drowning,drowning,2.44,1.59
10018,dangerous,dangerous,2.44,1.46
10017,cheat,cheat,2.44,1.23
10016,burial,burial,2.44,1.92
10015,tears,tears,2.46,1.5
10014,stealing,stealing,2.46,1.31
10013,steal,steal,2.46,1.68
10012,panic,panic,2.46,1.34
10011,losses,losses,2.46,1.45
10010,crashed,crashed,2.46,1.4
10009,attacks,attacks,2.46,1.46
10008,slap,slap,2.48,1.53
10007,saddam,saddam,2.48,1.57
10006,recession,recession,2.48,1.5
10005,haters,haters,2.48,1.55
10004,damaged,damaged,2.48,1.03
